
=== Results from: loomrv-benchmark-dense-binary.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
AlwaysBQR1000 Dense100                             | 0.00706
AlwaysBR10 Dense1                                  | 0.12287
AlwaysBR10 Dense10                                 | 0.07168
AlwaysBR10 Dense100                                | 0.06879
AlwaysBR100 Dense1                                 | 0.11706
AlwaysBR100 Dense10                                | 0.06336
AlwaysBR100 Dense100                               | 0.05501
AlwaysBR1000 Dense1                                | 0.11681
AlwaysBR1000 Dense10                               | 0.06184
AlwaysBR1000 Dense100                              | 0.05423
RecurBQR10 Dense1                                  | 0.21577
RecurBQR10 Dense10                                 | 0.12083
RecurBQR10 Dense100                                | 0.12113
RecurBQR100 Dense1                                 | 0.16988
RecurBQR100 Dense10                                | 0.04270
RecurBQR100 Dense100                               | 0.01723
RecurBQR1000 Dense1                                | 0.16463
RecurBQR1000 Dense10                               | 0.03334
RecurBQR1000 Dense100                              | 0.00706
RecurGLB10 Dense1                                  | 0.10305
RecurGLB10 Dense10                                 | 0.05823
RecurGLB10 Dense100                                | 0.05827
RecurGLB100 Dense1                                 | 0.08179
RecurGLB100 Dense10                                | 0.02168
RecurGLB100 Dense100                               | 0.00931
RecurGLB1000 Dense1                                | 0.07927
RecurGLB1000 Dense10                               | 0.01788
RecurGLB1000 Dense100                              | 0.00446
RespondBQR10 Dense1                                | 0.31641
RespondBQR10 Dense10                               | 0.21892
RespondBQR10 Dense100                              | 0.21788
RespondBQR100 Dense1                               | 0.22702
RespondBQR100 Dense10                              | 0.06761
RespondBQR100 Dense100                             | 0.03480
RespondBQR1000 Dense1                              | 0.21296
RespondBQR1000 Dense10                             | 0.04435
RespondBQR1000 Dense100                            | 0.00969
RespondGLB10 Dense1                                | 0.17951
RespondGLB10 Dense10                               | 0.10743
RespondGLB10 Dense100                              | 0.10773
RespondGLB100 Dense1                               | 0.13749
RespondGLB100 Dense10                              | 0.03676
RespondGLB100 Dense100                             | 0.01574
RespondGLB1000 Dense1                              | 0.13141
RespondGLB1000 Dense10                             | 0.02770
RespondGLB1000 Dense100                            | 0.00625

=== Results from: loomrv-benchmark-multi-and-binary.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
Combined_MultiProperty_AND_30_binary               | 3.95540

=== Results from: loomrv-benchmark-multi-and.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
Combined_MultiProperty_AND_30                      | 4.27244

=== Results from: loomrv-benchmark-multi-binary.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
Combined_MultiProperty_30_binary                   | 3.82037

=== Results from: loomrv-benchmark-multi.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
Combined_MultiProperty_30                          | 4.01572

=== Results from: loomrv-benchmark-single-binary.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
loomrv_Sequential_Binary_30                 | 5.94987

=== Results from: loomrv-benchmark-single-seq.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
loomrv_Sequential_30                        | 10.54457

=== Results from: rybinx-benchmark-dense.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
AbsentAQ10 Dense1                                  | 0.35907
AbsentAQ10 Dense10                                 | 0.20280
AbsentAQ10 Dense100                                | 0.20118
AbsentAQ100 Dense1                                 | 0.31966
AbsentAQ100 Dense10                                | 0.15831
AbsentAQ100 Dense100                               | 0.13083
AbsentAQ1000 Dense1                                | 0.31344
AbsentAQ1000 Dense10                               | 0.15026
AbsentAQ1000 Dense100                              | 0.12650
AbsentBQR10 Dense1                                 | 0.37618
AbsentBQR10 Dense10                                | 0.26642
AbsentBQR10 Dense100                               | 0.26649
AbsentBQR100 Dense1                                | 0.24938
AbsentBQR100 Dense10                               | 0.08095
AbsentBQR100 Dense100                              | 0.04636
AbsentBQR1000 Dense1                               | 0.22997
AbsentBQR1000 Dense10                              | 0.05410
AbsentBQR1000 Dense100                             | 0.01897
AbsentBR10 Dense1                                  | 0.29173
AbsentBR10 Dense10                                 | 0.18057
AbsentBR10 Dense100                                | 0.17626
AbsentBR100 Dense1                                 | 0.27496
AbsentBR100 Dense10                                | 0.15564
AbsentBR100 Dense100                               | 0.13805
AbsentBR1000 Dense1                                | 0.27482
AbsentBR1000 Dense10                               | 0.15149
AbsentBR1000 Dense100                              | 0.13537
AlwaysAQ10 Dense1                                  | 0.37549
AlwaysAQ10 Dense10                                 | 0.20247
AlwaysAQ10 Dense100                                | 0.19793
AlwaysAQ100 Dense1                                 | 0.32213
AlwaysAQ100 Dense10                                | 0.15384
AlwaysAQ100 Dense100                               | 0.12302
AlwaysAQ1000 Dense1                                | 0.31652
AlwaysAQ1000 Dense10                               | 0.14381
AlwaysAQ1000 Dense100                              | 0.11514
AlwaysBQR10 Dense1                                 | 0.54616
AlwaysBQR10 Dense10                                | 0.37067
AlwaysBQR10 Dense100                               | 0.36979
AlwaysBQR100 Dense1                                | 0.37121
AlwaysBQR100 Dense10                               | 0.11382
AlwaysBQR100 Dense100                              | 0.05954
AlwaysBQR1000 Dense1                               | 0.34593
AlwaysBQR1000 Dense10                              | 0.07615
AlwaysBQR1000 Dense100                             | 0.02336
AlwaysBR10 Dense1                                  | 0.30507
AlwaysBR10 Dense10                                 | 0.17695
AlwaysBR10 Dense100                                | 0.17147
AlwaysBR100 Dense1                                 | 0.28593
AlwaysBR100 Dense10                                | 0.15058
AlwaysBR100 Dense100                               | 0.12856
AlwaysBR1000 Dense1                                | 0.28417
AlwaysBR1000 Dense10                               | 0.14602
AlwaysBR1000 Dense100                              | 0.12566
RecurBQR10 Dense1                                  | 0.52128
RecurBQR10 Dense10                                 | 0.31222
RecurBQR10 Dense100                                | 0.31239
RecurBQR100 Dense1                                 | 0.38794
RecurBQR100 Dense10                                | 0.10341
RecurBQR100 Dense100                               | 0.04709
RecurBQR1000 Dense1                                | 0.37348
RecurBQR1000 Dense10                               | 0.07980
RecurBQR1000 Dense100                              | 0.02195
RecurGLB10 Dense1                                  | 0.19250
RecurGLB10 Dense10                                 | 0.11901
RecurGLB10 Dense100                                | 0.11873
RecurGLB100 Dense1                                 | 0.13940
RecurGLB100 Dense10                                | 0.04398
RecurGLB100 Dense100                               | 0.02457
RecurGLB1000 Dense1                                | 0.13315
RecurGLB1000 Dense10                               | 0.03504
RecurGLB1000 Dense100                              | 0.01493
RespondBQR10 Dense1                                | 0.89904
RespondBQR10 Dense10                               | 0.64605
RespondBQR10 Dense100                              | 0.64389
RespondBQR100 Dense1                               | 0.60778
RespondBQR100 Dense10                              | 0.18943
RespondBQR100 Dense100                             | 0.10402
RespondBQR1000 Dense1                              | 0.56456
RespondBQR1000 Dense10                             | 0.11975
RespondBQR1000 Dense100                            | 0.03162
RespondGLB10 Dense1                                | 0.53906
RespondGLB10 Dense10                               | 0.35017
RespondGLB10 Dense100                              | 0.35139
RespondGLB100 Dense1                               | 0.36646
RespondGLB100 Dense10                              | 0.10613
RespondGLB100 Dense100                             | 0.05303
RespondGLB1000 Dense1                              | 0.34641
RespondGLB1000 Dense10                             | 0.07598
RespondGLB1000 Dense100                            | 0.02221

=== Results from: rybinx-benchmark-multi-and.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
rybinx_Combined_AND_30                             | 20.73296

=== Results from: rybinx-benchmark-multi.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
rybinx_Sequential_30                               | 21.02744

=== Results from: ryjson-benchmark-dense.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
AbsentAQ10 Dense1                                  | 0.43074
AbsentAQ10 Dense10                                 | 0.24690
AbsentAQ10 Dense100                                | 0.23934
AbsentAQ100 Dense1                                 | 0.38827
AbsentAQ100 Dense10                                | 0.19788
AbsentAQ100 Dense100                               | 0.16574
AbsentAQ1000 Dense1                                | 0.38296
AbsentAQ1000 Dense10                               | 0.18856
AbsentAQ1000 Dense100                              | 0.16018
AbsentBQR10 Dense1                                 | 0.49340
AbsentBQR10 Dense10                                | 0.34677
AbsentBQR10 Dense100                               | 0.34725
AbsentBQR100 Dense1                                | 0.33394
AbsentBQR100 Dense10                               | 0.10701
AbsentBQR100 Dense100                              | 0.06063
AbsentBQR1000 Dense1                               | 0.30957
AbsentBQR1000 Dense10                              | 0.07287
AbsentBQR1000 Dense100                             | 0.02569
AbsentBR10 Dense1                                  | 0.35020
AbsentBR10 Dense10                                 | 0.21547
AbsentBR10 Dense100                                | 0.21101
AbsentBR100 Dense1                                 | 0.33272
AbsentBR100 Dense10                                | 0.18706
AbsentBR100 Dense100                               | 0.16592
AbsentBR1000 Dense1                                | 0.33051
AbsentBR1000 Dense10                               | 0.18245
AbsentBR1000 Dense100                              | 0.16324
AlwaysAQ10 Dense1                                  | 0.44870
AlwaysAQ10 Dense10                                 | 0.24711
AlwaysAQ10 Dense100                                | 0.23904
AlwaysAQ100 Dense1                                 | 0.40006
AlwaysAQ100 Dense10                                | 0.19233
AlwaysAQ100 Dense100                               | 0.15640
AlwaysAQ1000 Dense1                                | 0.39379
AlwaysAQ1000 Dense10                               | 0.18376
AlwaysAQ1000 Dense100                              | 0.15031
AlwaysBQR10 Dense1                                 | 0.67413
AlwaysBQR10 Dense10                                | 0.45517
AlwaysBQR10 Dense100                               | 0.45558
AlwaysBQR100 Dense1                                | 0.46626
AlwaysBQR100 Dense10                               | 0.14280
AlwaysBQR100 Dense100                              | 0.07515
AlwaysBQR1000 Dense1                               | 0.43786
AlwaysBQR1000 Dense10                              | 0.09740
AlwaysBQR1000 Dense100                             | 0.02921
AlwaysBR10 Dense1                                  | 0.36488
AlwaysBR10 Dense10                                 | 0.21219
AlwaysBR10 Dense100                                | 0.20523
AlwaysBR100 Dense1                                 | 0.34326
AlwaysBR100 Dense10                                | 0.18130
AlwaysBR100 Dense100                               | 0.15613
AlwaysBR1000 Dense1                                | 0.34051
AlwaysBR1000 Dense10                               | 0.17637
AlwaysBR1000 Dense100                              | 0.15286
RecurBQR10 Dense1                                  | 0.63388
RecurBQR10 Dense10                                 | 0.37713
RecurBQR10 Dense100                                | 0.37689
RecurBQR100 Dense1                                 | 0.47585
RecurBQR100 Dense10                                | 0.12699
RecurBQR100 Dense100                               | 0.05832
RecurBQR1000 Dense1                                | 0.45866
RecurBQR1000 Dense10                               | 0.09906
RecurBQR1000 Dense100                              | 0.02751
RecurGLB10 Dense1                                  | 0.24037
RecurGLB10 Dense10                                 | 0.14758
RecurGLB10 Dense100                                | 0.14722
RecurGLB100 Dense1                                 | 0.17848
RecurGLB100 Dense10                                | 0.05547
RecurGLB100 Dense100                               | 0.03117
RecurGLB1000 Dense1                                | 0.17060
RecurGLB1000 Dense10                               | 0.04462
RecurGLB1000 Dense100                              | 0.01893
RespondBQR10 Dense1                                | 1.10010
RespondBQR10 Dense10                               | 0.78583
RespondBQR10 Dense100                              | 0.78126
RespondBQR100 Dense1                               | 0.74874
RespondBQR100 Dense10                              | 0.23320
RespondBQR100 Dense100                             | 0.12756
